54.211.141.178;20191229103257;200;-
185.69.76.212;20191222061847;200;-
58.103.177.218;20191113133452;200;-
69.111.205.222;20191225191058;200;-
70.241.20.129;20191110061554;200;-
119.44.3.169;20191124034631;200;-
45.83.77.120;20191217115056;200;-
18.202.60.226;20191223010943;200;-
55.113.243.55;20191110122851;200;-
101.120.2.64;20191128235313;200;-
216.98.26.67;20191217031717;200;-
123.188.45.207;20191118220913;200;-
46.149.50.95;20191127131831;200;-
126.159.60.52;20191215215411;200;-
231.146.15.43;20191128035933;200;-
193.102.40.100;20191222194410;200;-
219.2.46.174;20191224105738;200;-
119.245.145.246;20191225071315;200;-
27.52.119.23;20191113074815;200;-
40.80.233.62;20191131175438;200;-
120.72.150.46;20191116102532;200;-
253.144.76.183;20191217225232;200;-
219.184.192.128;20191131030338;200;-
224.227.146.247;20191225104043;200;-
139.148.173.250;20191219191635;200;-
196.147.128.202;20191219085545;200;-
60.2.70.23;20191129074742;200;-
118.170.225.51;20191213123121;200;-
140.51.0.77;20191127202735;200;-
12.223.101.215;20191116031624;200;-
60.45.137.215;20191224082731;200;-
120.126.232.65;20191214213147;200;-
104.39.97.38;20191129112300;200;-
206.15.119.56;20191116134754;200;-
206.29.239.220;20191131074736;200;-
148.173.89.153;20191222195001;200;-
8.30.235.183;20191229183624;200;-
101.169.11.107;20191217041858;200;-
30.177.58.173;20191111230455;200;-
62.141.37.197;20191118171940;200;-
35.78.128.150;20191123233049;200;-
1.132.34.112;20191127043324;200;-
102.156.100.73;20191115141247;200;-
62.237.14.65;20191231181438;200;-
141.67.253.141;20191211085058;200;-
123.164.122.145;20191223045225;200;-
88.68.31.254;20191131215711;200;-
116.215.172.167;20191127163438;200;-
253.158.82.215;20191115193501;200;-
21.83.73.101;20191225010758;200;-
17.150.128.214;20191112214649;200;-
27.18.37.96;20191114043215;200;-
144.112.12.97;20191118081631;200;-
145.196.23.66;20191114231037;200;-
238.22.94.95;20191115172602;200;-
34.159.77.50;20191128164806;200;-
210.150.176.85;20191229132744;200;-
165.253.160.28;20191112115401;200;-
17.77.6.145;20191230000836;200;-
153.148.210.23;20191124234126;200;-
144.140.214.125;20191126095146;200;-
160.186.29.188;20191113064650;200;-
176.204.57.249;20191218042409;200;-
31.93.169.23;20191218073118;200;-
58.211.42.15;20191228120617;200;-
165.47.152.47;20191131065131;200;-
139.44.42.254;20191221151527;200;-
82.4.205.56;20191113144431;200;-
